MapX,MapY,DataMapX,DataMapY,OutsiderRing,Bin,AxisPosX,AxisPosY,PosX,PosY,Similar,SizeX,sizeY
-2,5,-2,5,6,0,70.740009721841,191.591118804932,0,0,1,3.865,3.46
-3,5,-3,5,6,0,74.6050099697963,191.591118804932,0,0,1,3.865,3.46
-4,5,-4,5,7,0,78.4700097409145,191.591118804932,0,0,1,3.865,3.46
-5,5,-5,5,7,0,82.3350104657069,191.591118804932,0,0,1,3.865,3.46
-6,5,-6,5,7,0,86.2000102368251,191.591118804932,0,0,1,3.865,3.46
-7,5,-7,5,7,0,90.0650100079433,191.591118804932,0,0,1,3.865,3.46
-8,5,-8,5,7,0,93.9300097790614,191.591118804932,0,0,1,3.865,3.46
-9,5,-9,5,7,0,97.7950095501796,191.591118804932,0,0,1,3.865,3.46
-10,5,-10,5,7,0,101.660011228646,191.591118804932,0,0,1,3.865,3.46
-11,5,-11,5,7,0,105.525009092416,191.591118804932,0,0,1,3.865,3.46
-12,5,-12,5,6,0,109.390010770883,191.591118804932,0,0,1,3.865,3.46
-13,5,-13,5,6,0,113.255008634652,191.591118804932,0,0,1,3.865,3.46
-14,5,-14,5,6,0,117.120010313119,191.591118804932,0,0,1,3.865,3.46
-15,5,-15,5,6,0,120.985008176889,191.591118804932,0,0,1,3.865,3.46
-16,5,-16,5,5,0,124.850009855355,191.591118804932,0,0,1,3.865,3.46
-17,5,-17,5,5,0,128.715011533822,191.591118804932,0,0,1,3.865,3.46
-18,5,-18,5,5,0,132.580009397592,191.591118804932,0,0,1,3.865,3.46
-19,5,-19,5,4,0,136.445007261361,191.591118804932,0,0,1,3.865,3.46
-20,5,-20,5,3,0,140.310012754525,191.591118804932,0,0,1,3.865,3.46
-21,5,-21,5,3,0,144.175010618295,191.591118804932,0,0,1,3.865,3.46
-22,5,-22,5,2,0,148.040008482064,191.591118804932,0,0,1,3.865,3.46
-23,5,-23,5,1,0,151.905006345834,191.591118804932,0,0,1,3.865,3.46
-24,6,-24,6,1,0,155.767243838274,188.13111781311,0,0,1,3.865,3.46
-23,6,-23,6,2,0,151.90223834511,188.13111781311,0,0,1,3.865,3.46
-22,6,-22,6,3,0,148.037240481341,188.13111781311,0,0,1,3.865,3.46
-21,6,-21,6,4,0,144.172242617571,188.13111781311,0,0,1,3.865,3.46
-20,6,-20,6,4,0,140.307244753802,188.13111781311,0,0,1,3.865,3.46
-19,6,-19,6,5,0,136.442239260638,188.13111781311,0,0,1,3.865,3.46
-18,6,-18,6,6,0,132.577241396868,188.13111781311,0,0,1,3.865,3.46
-17,6,-17,6,6,0,128.712243533099,188.13111781311,0,0,1,3.865,3.46
-16,6,-16,6,6,0,124.847241854632,188.13111781311,0,0,1,3.865,3.46
-15,6,-15,6,7,0,120.982240176165,188.13111781311,0,0,1,3.865,3.46
-14,6,-14,6,7,0,117.117242312396,188.13111781311,0,0,1,3.865,3.46
-13,6,-13,6,7,0,113.252240633929,188.13111781311,0,0,1,3.865,3.46
-12,6,-12,6,7,0,109.387242770159,188.13111781311,0,0,1,3.865,3.46
-11,6,-11,6,8,0,105.522241091692,188.13111781311,0,0,1,3.865,3.46
-10,6,-10,6,8,0,101.657243227923,188.13111781311,0,0,1,3.865,3.46
-9,6,-9,6,8,0,97.7922415494561,188.13111781311,0,0,1,3.865,3.46
-8,6,-8,6,8,0,93.9272417783379,188.13111781311,0,0,1,3.865,3.46
-7,6,-7,6,8,0,90.0622420072197,188.13111781311,0,0,1,3.865,3.46
-6,6,-6,6,8,0,86.1972422361016,188.13111781311,0,0,1,3.865,3.46
-5,6,-5,6,8,0,82.3322424649834,188.13111781311,0,0,1,3.865,3.46
-4,6,-4,6,8,0,78.4672417401909,188.13111781311,0,0,1,3.865,3.46
-3,6,-3,6,7,0,74.6022419690728,188.13111781311,0,0,1,3.865,3.46
-2,6,-2,6,7,0,70.7372417211174,188.13111781311,0,0,1,3.865,3.46
-1,6,-1,6,7,0,66.8722417115807,188.13111781311,0,0,1,3.865,3.46
0,6,0,6,7,0,63.0072417020439,188.13111781311,0,0,1,3.865,3.46
1,6,1,6,6,0,59.1422416925072,188.13111781311,0,0,1,3.865,3.46
2,6,2,6,6,0,55.2772416829705,188.13111781311,0,0,1,3.865,3.46
3,6,3,6,6,0,51.4122414350151,188.13111781311,0,0,1,3.865,3.46
4,6,4,6,5,0,47.547241663897,188.13111781311,0,0,1,3.865,3.46
5,6,5,6,4,0,43.6822409391045,188.13111781311,0,0,1,3.865,3.46
6,6,6,6,3,0,39.8172411679863,188.13111781311,0,0,1,3.865,3.46
7,6,7,6,3,0,35.9522413968682,188.13111781311,0,0,1,3.865,3.46
8,6,8,6,2,0,32.08724162575,188.13111781311,0,0,1,3.865,3.46
9,6,9,6,1,0,28.2222418546318,188.13111781311,0,0,1,3.865,3.46
10,7,10,7,1,0,24.3544721769674,184.671118728638,0,0,1,3.865,3.46
9,7,9,7,2,0,28.2194738554342,184.671118728638,0,0,1,3.865,3.46
8,7,8,7,3,0,32.0844736265524,184.671118728638,0,0,1,3.865,3.46
7,7,7,7,4,0,35.9494733976705,184.671118728638,0,0,1,3.865,3.46
6,7,6,7,4,0,39.8144731687887,184.671118728638,0,0,1,3.865,3.46
5,7,5,7,5,0,43.6794729399068,184.671118728638,0,0,1,3.865,3.46
4,7,4,7,6,0,47.5444736646993,184.671118728638,0,0,1,3.865,3.46
3,7,3,7,7,0,51.4094734358175,184.671118728638,0,0,1,3.865,3.46
2,7,2,7,7,0,55.2744736837728,184.671118728638,0,0,1,3.865,3.46
1,7,1,7,7,0,59.1394736933096,184.671118728638,0,0,1,3.865,3.46
0,7,0,7,8,0,63.0044737028463,184.671118728638,0,0,1,3.865,3.46
-1,7,-1,7,8,0,66.869473712383,184.671118728638,0,0,1,3.865,3.46
-2,7,-2,7,8,0,70.7344737219198,184.671118728638,0,0,1,3.865,3.46
-3,7,-3,7,8,0,74.5994739698751,184.671118728638,0,0,1,3.865,3.46
-4,7,-4,7,9,0,78.4644737409933,184.671118728638,0,0,1,3.865,3.46
-5,7,-5,7,9,0,82.3294744657858,184.671118728638,0,0,1,3.865,3.46
-6,7,-6,7,9,0,86.1944742369039,184.671118728638,0,0,1,3.865,3.46
-7,7,-7,7,9,0,90.0594740080221,184.671118728638,0,0,1,3.865,3.46
-8,7,-8,7,9,0,93.9244737791402,184.671118728638,0,0,1,3.865,3.46
-9,7,-9,7,9,0,97.7894735502584,184.671118728638,0,0,1,3.865,3.46
-10,7,-10,7,9,0,101.654475228725,184.671118728638,0,0,1,3.865,3.46
-11,7,-11,7,9,0,105.519473092495,184.671118728638,0,0,1,3.865,3.46
-12,7,-12,7,8,0,109.384474770962,184.671118728638,0,0,1,3.865,3.46
-13,7,-13,7,8,0,113.249472634731,184.671118728638,0,0,1,3.865,3.46
-14,7,-14,7,8,0,117.114474313198,184.671118728638,0,0,1,3.865,3.46
-15,7,-15,7,8,0,120.979472176967,184.671118728638,0,0,1,3.865,3.46
-16,7,-16,7,7,0,124.844473855434,184.671118728638,0,0,1,3.865,3.46
-17,7,-17,7,7,0,128.709475533901,184.671118728638,0,0,1,3.865,3.46
-18,7,-18,7,7,0,132.574473397671,184.671118728638,0,0,1,3.865,3.46
-19,7,-19,7,6,0,136.43947126144,184.671118728638,0,0,1,3.865,3.46
-20,7,-20,7,5,0,140.304476754604,184.671118728638,0,0,1,3.865,3.46
-21,7,-21,7,5,0,144.169474618374,184.671118728638,0,0,1,3.865,3.46
-22,7,-22,7,4,0,148.034472482143,184.671118728638,0,0,1,3.865,3.46
-23,7,-23,7,3,0,151.899470345913,184.671118728638,0,0,1,3.865,3.46
-24,7,-24,7,2,0,155.764475839077,184.671118728638,0,0,1,3.865,3.46
-25,7,-25,7,1,0,159.629473702846,184.671118728638,0,0,1,3.865,3.46
-26,8,-26,8,1,0,163.491703565892,181.211117736816,0,0,1,3.865,3.46
-25,8,-25,8,2,0,159.626705702123,181.211117736816,0,0,1,3.865,3.46
-24,8,-24,8,3,0,155.761707838353,181.211117736816,0,0,1,3.865,3.46
-23,8,-23,8,4,0,151.896702345189,181.211117736816,0,0,1,3.865,3.46
-22,8,-22,8,5,0,148.03170448142,181.211117736816,0,0,1,3.865,3.46
-21,8,-21,8,6,0,144.16670661765,181.211117736816,0,0,1,3.865,3.46
-20,8,-20,8,6,0,140.301708753881,181.211117736816,0,0,1,3.865,3.46
-19,8,-19,8,7,0,136.436703260717,181.211117736816,0,0,1,3.865,3.46
-18,8,-18,8,8,0,132.571705396947,181.211117736816,0,0,1,3.865,3.46
-17,8,-17,8,8,0,128.706707533177,181.211117736816,0,0,1,3.865,3.46
-16,8,-16,8,8,0,124.841705854711,181.211117736816,0,0,1,3.865,3.46
-15,8,-15,8,9,0,120.976704176244,181.211117736816,0,0,1,3.865,3.46
-14,8,-14,8,9,0,117.111706312474,181.211117736816,0,0,1,3.865,3.46
-13,8,-13,8,9,0,113.246704634008,181.211117736816,0,0,1,3.865,3.46
-12,8,-12,8,9,0,109.381706770238,181.211117736816,0,0,1,3.865,3.46
-11,8,-11,8,10,0,105.516705091771,181.211117736816,0,0,1,3.865,3.46
-10,8,-10,8,10,0,101.651707228002,181.211117736816,0,0,1,3.865,3.46
-9,8,-9,8,10,0,97.7867055495349,181.211117736816,0,0,1,3.865,3.46
-8,8,-8,8,10,0,93.9217057784167,181.211117736816,0,0,1,3.865,3.46
-7,8,-7,8,10,0,90.0567060072986,181.211117736816,0,0,1,3.865,3.46
-6,8,-6,8,10,0,86.1917062361804,181.211117736816,0,0,1,3.865,3.46
-5,8,-5,8,10,0,82.3267064650622,181.211117736816,0,0,1,3.865,3.46
-4,8,-4,8,10,0,78.4617057402697,181.211117736816,0,0,1,3.865,3.46
-3,8,-3,8,9,0,74.5967059691516,181.211117736816,0,0,1,3.865,3.46
-2,8,-2,8,9,0,70.7317057211962,181.211117736816,0,0,1,3.865,3.46
-1,8,-1,8,9,0,66.8667057116595,181.211117736816,0,0,1,3.865,3.46
0,8,0,8,9,0,63.0017057021228,181.211117736816,0,0,1,3.865,3.46
1,8,1,8,8,0,59.136705692586,181.211117736816,0,0,1,3.865,3.46
2,8,2,8,8,0,55.2717056830493,181.211117736816,0,0,1,3.865,3.46
3,8,3,8,8,0,51.406705435094,181.211117736816,0,0,1,3.865,3.46
4,8,4,8,7,0,47.5417056639758,181.211117736816,0,0,1,3.865,3.46
5,8,5,8,6,0,43.6767049391833,181.211117736816,0,0,1,3.865,3.46
6,8,6,8,5,0,39.8117051680651,181.211117736816,0,0,1,3.865,3.46
7,8,7,8,5,0,35.946705396947,181.211117736816,0,0,1,3.865,3.46
8,8,8,8,4,0,32.0817056258288,181.211117736816,0,0,1,3.865,3.46
9,8,9,8,3,0,28.2167058547107,181.211117736816,0,0,1,3.865,3.46
10,8,10,8,2,0,24.3517041762439,181.211117736816,0,0,1,3.865,3.46
11,8,11,8,1,0,20.4867063124743,181.211117736816,0,0,1,3.865,3.46
11,9,11,9,1,0,20.4839383132767,177.751118652344,0,0,1,3.865,3.46
10,9,10,9,2,0,24.3489361770462,177.751118652344,0,0,1,3.865,3.46
9,9,9,9,3,0,28.213937855513,177.751118652344,0,0,1,3.865,3.46
8,9,8,9,4,0,32.0789376266312,177.751118652344,0,0,1,3.865,3.46
7,9,7,9,5,0,35.9439373977493,177.751118652344,0,0,1,3.865,3.46
6,9,6,9,6,0,39.8089371688675,177.751118652344,0,0,1,3.865,3.46
5,9,5,9,7,0,43.6739369399857,177.751118652344,0,0,1,3.865,3.46
4,9,4,9,8,0,47.5389376647781,177.751118652344,0,0,1,3.865,3.46
3,9,3,9,9,0,51.4039374358963,177.751118652344,0,0,1,3.865,3.46
2,9,2,9,9,0,55.2689376838516,177.751118652344,0,0,1,3.865,3.46
1,9,1,9,9,0,59.1339376933884,177.751118652344,0,0,1,3.865,3.46
0,9,0,9,10,0,62.9989377029251,177.751118652344,0,0,1,3.865,3.46
-1,9,-1,9,10,0,66.8639377124618,177.751118652344,0,0,1,3.865,3.46
-2,9,-2,9,10,0,70.7289377219986,177.751118652344,0,0,1,3.865,3.46
-3,9,-3,9,10,0,74.5939379699539,177.751118652344,0,0,1,3.865,3.46
-4,9,-4,9,11,0,78.4589377410721,177.751118652344,0,0,1,3.865,3.46
-5,9,-5,9,11,0,82.3239384658646,177.751118652344,0,0,1,3.865,3.46
-6,9,-6,9,11,0,86.1889382369827,177.751118652344,0,0,1,3.865,3.46
-7,9,-7,9,11,0,90.0539380081009,177.751118652344,0,0,1,3.865,3.46
-8,9,-8,9,11,0,93.9189377792191,177.751118652344,0,0,1,3.865,3.46
-9,9,-9,9,11,0,97.7839375503372,177.751118652344,0,0,1,3.865,3.46
-10,9,-10,9,11,0,101.648939228804,177.751118652344,0,0,1,3.865,3.46
-11,9,-11,9,11,0,105.513937092574,177.751118652344,0,0,1,3.865,3.46
-12,9,-12,9,10,0,109.37893877104,177.751118652344,0,0,1,3.865,3.46
-13,9,-13,9,10,0,113.24393663481,177.751118652344,0,0,1,3.865,3.46
-14,9,-14,9,10,0,117.108938313277,177.751118652344,0,0,1,3.865,3.46
-15,9,-15,9,10,0,120.973936177046,177.751118652344,0,0,1,3.865,3.46
-16,9,-16,9,9,0,124.838937855513,177.751118652344,0,0,1,3.865,3.46
-17,9,-17,9,9,0,128.70393953398,177.751118652344,0,0,1,3.865,3.46
-18,9,-18,9,9,0,132.568937397749,177.751118652344,0,0,1,3.865,3.46
-19,9,-19,9,8,0,136.433935261519,177.751118652344,0,0,1,3.865,3.46
-20,9,-20,9,7,0,140.298940754683,177.751118652344,0,0,1,3.865,3.46
-21,9,-21,9,7,0,144.163938618452,177.751118652344,0,0,1,3.865,3.46
-22,9,-22,9,6,0,148.028936482222,177.751118652344,0,0,1,3.865,3.46
-23,9,-23,9,5,0,151.893934345992,177.751118652344,0,0,1,3.865,3.46
-24,9,-24,9,4,0,155.758939839156,177.751118652344,0,0,1,3.865,3.46
-25,9,-25,9,3,0,159.623937702925,177.751118652344,0,0,1,3.865,3.46
-26,9,-26,9,2,0,163.488935566695,177.751118652344,0,0,1,3.865,3.46
-27,9,-27,9,1,0,167.353941059859,177.751118652344,0,0,1,3.865,3.46
-28,10,-28,10,1,0,171.216170924431,174.291119567871,0,0,1,3.865,3.46
